HR(t),Cal(t),Inte(t),METs(t),Steps(t),HR(t-1),Cal(t-1),Inte(t-1),METs(t-1),Steps(t-1),HR(t-2),Cal(t-2),Inte(t-2),METs(t-2),Steps(t-2),HR(t)_disc,Cal(t)_disc,Inte(t)_disc,METs(t)_disc,Steps(t)_disc,HR(t-1)_disc,Cal(t-1)_disc,Inte(t-1)_disc,METs(t-1)_disc,Steps(t-1)_disc,HR(t-2)_disc,Cal(t-2)_disc,Inte(t-2)_disc,METs(t-2)_disc,Steps(t-2)_disc
0.3539437459789659,0.711605800248924,0.5900549955533133,0.7116058437751757,0.6326491706413409,0.3348182672536967,-0.523548516292632,-0.6565893867433013,-0.5235485143154411,-0.5296483077094096,0.1861311132689586,0.4771879152844185,0.5934912170139123,0.4771878673730409,0.11774178483478634,1,2,1,2,2,1,1,0,1,0,1,1,1,1,1
0.7429574877576276,0.594050609395035,0.5900549955533133,0.5940505396526872,0.4390060340804891,0.3532486170955796,0.7096110809944671,0.5900549955533133,0.709611124317904,0.631582162156948,0.33333099548785244,-0.5207184833834934,-0.6530154098707648,-0.5207184813973957,-0.5273690331903611,2,2,1,2,2,1,2,1,2,1,1,0,0,0,0
1.0591463821417078,0.47649528349551495,0.5900549955533133,0.47649523553019885,-0.07737566341511559,0.7421289987592982,0.5921674190431996,0.5900549955533133,0.5921673492099664,0.438043750512555,0.35173098076521436,0.7119893177189334,0.5934912170139123,0.7119893612013789,0.6338304392549042,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1
0.9623538634527037,0.946716452047953,0.5900549955533133,0.9467164520201524,0.9553877315760938,1.0582094985475834,0.47472362217442376,0.5900549955533133,0.47472357410202876,-0.07805868053915944,0.7399706701175413,0.594588683935715,0.5934912170139123,0.5945886142872099,0.44029719384736005,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1
1.1031429815458016,0.8291611261484385,0.5900549955533133,0.829161147897664,0.4390060340804891,0.9614501618777003,0.9444986747320077,0.5900549955533133,0.9444986745337792,0.9541461815642694,1.0555304176242926,0.4771879152844185,0.5934912170139123,0.4771878673730409,-0.07579146057275789,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1
0.8548066204649193,1.181826968801362,0.5900549955533133,1.1818270602651293,1.5040432851651737,1.1021910152157133,0.8270548778632374,0.5900549955533133,0.8270548994258416,0.438043750512555,0.9589304949181443,0.9467908550215154,0.5934912170139123,0.9467908550297169,0.956385848267478,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2
1.4075994494221225,1.534492946499911,0.5900549955533133,1.5344929726325944,1.9881511265673033,0.8539397878000502,1.179386133552051,0.5900549955533133,1.1793862247496545,1.5025050145567163,1.0994394733998156,0.8293900863702244,0.5934912170139123,0.8293901081155479,0.44029719384736005,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1
1.7560525167025365,1.76960359829894,0.5900549955533133,1.7696035808775712,2.1495204070346796,1.4065431105591628,1.5317175241583674,0.5900549955533133,1.5317175500734674,1.9863510436676985,0.8515972474668664,1.1815922574560302,0.5934912170139123,1.181592348858055,1.5047300435888533,3,2,1,2,2,2,2,1,2,2,1,1,1,1,2
1.9109205466049433,1.76960359829894,0.5900549955533133,1.7696035808775712,1.7945079900064513,1.7548767225707416,1.7666051178959081,0.5900549955533133,1.7666051002893428,2.1476330533713592,1.4032901393664263,1.5337945634099088,0.5934912170139123,1.533794589600562,1.9885631571077138,3,2,1,2,2,2,2,1,2,2,2,1,1,1,2
1.6802317103961502,1.534492946499911,0.5900549955533133,1.5344929726325944,0.9553877315760938,1.9096916612425547,1.7666051178959081,0.5900549955533133,1.7666051002893428,1.7928126320233055,1.7510498611085594,1.7685961007124908,0.5934912170139123,1.7685960834289,2.149840861614001,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2
